frequency,word,reading,reading_segments,meaning_en,meaning_en_custom,part,frequency_band,age_band,grade
403,近く,ちかく,近:ちか | く,Near | Neighborhood | Vicinity | Nearly | Shortly,near | neighborhood | vicinity | nearly | shortly,adverb | noun,1000.0,,2
404,能力,のうりょく,能:のう | 力:りょく,Ability | Capability,ability | capability,noun,1000.0,9.0,5
405,指導,しどう,指:し | 導:どう,Guidance,guidance,noun | verbal noun,,,5
406,更新,こうしん,,Renewal | Update,renewal | update,noun | verbal noun,,,9
407,強い,つよい,強:つよ | い,Strong,strong,い adjective,1000.0,,2
408,公開,こうかい,公:こう | 開:かい,Open To The Public | Releasing,open To The Public | releasing,noun | の adjective | verbal noun,,,3
409,日本語,にほんご,日:に | 本:ほん | 語:ご,Japanese Language | Japanese,japanese Language | japanese,noun | の adjective,1000.0,2.0,2
410,皆さん,みなさん,,Everyone | Everybody | All,everyone | everybody | all,noun,,,9
412,女,おんな,女:おんな,Woman | Female,woman | female,noun,1000.0,,1
413,昔,むかし,昔:むかし,Long Ago | Long Time Ago,long Ago | long Time Ago,noun | の adjective,1000.0,,3
414,担当,たんとう,担:たん | 当:とう,In Charge,in Charge,noun | verbal noun,1000.0,9.0,6
416,明日,あした,明:あ | 日:した,Tomorrow,tomorrow,noun,1000.0,2.0,2
417,旅行,りょこう,旅:りょ | 行:こう,Trip | Travel,trip | travel,noun | verbal noun | の adjective,1000.0,3.0,3
418,夢,ゆめ,夢:ゆめ,Dream,dream,noun,,,5
419,明らか,あきらか,明:あき | らか,Obvious | Clear | Evident,obvious | clear | evident,な adjective,1000.0,,2
420,木,き,木:き,Tree | Wood,tree | wood,noun,1000.0,,1
421,機,き,機:き,Machine | Chance | Opportunity,machine | chance | opportunity,noun,,,4
422,大切,たいせつ,大:たい | 切:せつ,Important | Precious | Valuable,important | precious | valuable,noun | な adjective,1000.0,2.0,2
423,局,きょく,局:きょく,Bureau | Department | Station | Office,bureau | department | station | office,noun | suffix,1000.0,,3
426,安全,あんぜん,安:あん | 全:ぜん,Safety | Safe,safety | safe,noun | な adjective,1000.0,3.0,3
427,外国,がいこく,外:がい | 国:こく,Foreign Country | Other Countries | Overseas,foreign Country | other Countries | overseas,noun | の adjective,1000.0,2.0,2
428,お金,おかね,お | 金:かね,Money,money,noun,1000.0,,1
429,資料,しりょう,資:し | 料:りょう,Material | Data | Documents,material | data | documents,noun | の adjective,,,5
430,部屋,へや,部:へ | 屋:や,Room,room,noun,1000.0,3.0,3
431,行為,こうい,,Deed,deed,noun,,,9
433,色,いろ,色:いろ,Color,color,noun,1000.0,,2
434,難しい,むずかしい,,Difficult | Hard,difficult | hard,い adjective,,,9
435,登録,とうろく,登:とう | 録:ろく,Registration,registration,noun | verbal noun,1000.0,9.0,4
437,成功,せいこう,成:せい | 功:こう,Success,success,noun | verbal noun,,,4
438,努力,どりょく,努:ど | 力:りょく,Great Effort | Exertion | Grueling Effort,great Effort | exertion | grueling Effort,noun | verbal noun,1000.0,9.0,4
440,生まれ,うまれ,生:う | まれ,Birthplace | Birth,birthplace | birth,noun,,,1
443,支援,しえん,,Support,support,noun | verbal noun,,,9
444,最も,もっとも,最:もっと | も,The Most | Most | Extremely,the Most | most | extremely,adverb,,,4
445,自己,じこ,自:じ | 己:こ,Self | Oneself,self | oneself,noun | の adjective,,,6
448,運動,うんどう,運:うん | 動:どう,Exercise | Sport | Movement | Motion,exercise | sport | movement | motion,noun | verbal noun,1000.0,3.0,3
449,構造,こうぞう,構:こう | 造:ぞう,Structure,structure,noun,,,5
450,特別,とくべつ,特:とく | 別:べつ,Special,special,adverb | noun | な adjective | の adjective,,,4
451,解決,かいけつ,解:かい | 決:けつ,Solving | Solution | Settlement,solving | solution | settlement,noun | verbal noun,1000.0,9.0,5
452,完全,かんぜん,完:かん | 全:ぜん,Complete | Perfect | Perfection | Completeness,complete | perfect | perfection | completeness,noun | な adjective | の adjective,1000.0,9.0,4
453,欲しい,ほしい,欲:ほ | しい,Wanted | Desired | Want,wanted | desired | want,い adjective,,,6
455,品,しな,品:しな,Article | Item | Goods,article | item | goods,counter | noun,1000.0,,3
456,訳,わけ,訳:わけ,Reason,reason,noun,,,6
459,男性,だんせい,男:だん | 性:せい,Male | Man | Guy,male | man | guy,noun | の adjective,1000.0,9.0,5
460,結構,けっこう,結:けっ | 構:こう,Fine | Fairly | Quite | Sufficient,fine | fairly | quite | sufficient,adverb | noun | な adjective,,,5
461,出る,でる,出:で | る,To Exit | To Leave | To Attend | To Come Out | To Go Out,exit | leave | attend | come Out | go Out,intransitive verb | ichidan verb,1000.0,,1
462,産業,さんぎょう,産:さん | 業:ぎょう,Industry | Heavy Industry,industry | heavy Industry,noun | の adjective,1000.0,9.0,4
463,軍,ぐん,軍:ぐん,Army | Troops | Force,army | troops | force,noun | suffix,,,4
464,主,ぬし,主:ぬし,Owner,owner,noun,1000.0,,3
466,出来る,できる,出:で | 来:き | る,To Be Able To Do | To Be Ready | To Be Made,be Able To Do | be Ready | be Made,intransitive verb | ichidan verb,1000.0,2.0,2
468,人気,にんき,人:にん | 気:き,Popular | Popularity,popular | popularity,noun | な adjective | の adjective,1000.0,1.0,1
470,過ぎ,すぎ,過:す | ぎ,Too Much | After | Past,too Much | after | past,noun | suffix,,,5
471,駅,えき,駅:えき,Station | Train Station,station | train Station,noun | suffix,1000.0,,3
472,最終,さいしゅう,最:さい | 終:しゅう,Last | Final | The Last | The Final,last | final | the Last | the Final,noun | の adjective,,,4
473,答え,こたえ,答:こた | え,Answer | Reply | Response,answer | reply | response,noun,3000.0,,2
476,生,なま,生:なま,Fresh | Raw | Live,fresh | raw | live,noun | の adjective,1000.0,,1
478,方向,ほうこう,方:ほう | 向:こう,Direction,direction,noun,1000.0,3.0,3
480,検索,けんさく,,Lookup | Internet Search,lookup | internet Search,noun | verbal noun,,,9
482,健康,けんこう,健:けん | 康:こう,Health | Healthy,health | healthy,noun | な adjective,,,4
483,障害,しょうがい,,Disability | Handicap | Obstacle,disability | handicap | obstacle,noun | verbal noun,,,9
486,協力,きょうりょく,協:きょう | 力:りょく,Cooperation | Collaboration | Assistance,cooperation | collaboration | assistance,noun | verbal noun | の adjective,,,4
487,時期,じき,時:じ | 期:き,Time | Season | Period,time | season | period,noun,,,3
488,料理,りょうり,料:りょう | 理:り,Cooking | Cuisine | Dish,cooking | cuisine | dish,noun | verbal noun,1000.0,9.0,4
489,考え方,かんがえかた,考:かんが | え | 方:かた,Way Of Thinking | Thought Process,way Of Thinking | thought Process,noun,1000.0,2.0,2
490,楽しみ,たのしみ,楽:たの | しみ,Looking Forward To | Hope | Expectation | Anticipation | Pleasure | Enjoyment,looking Forward To | hope | expectation | anticipation | pleasure | enjoyment,noun | な adjective,3000.0,,2
491,医療,いりょう,,Medical Treatment,medical Treatment,noun | の adjective,,,9
493,試験,しけん,試:し | 験:けん,Examination | Test | Experiment,examination | test | experiment,noun | verbal noun,,,4
494,立場,たちば,立:た | 場:ちば,Standpoint | Position,standpoint | position,noun,1000.0,2.0,2
495,契約,けいやく,,Contract | Agreement,contract | agreement,noun | verbal noun,,,9
497,条件,じょうけん,条:じょう | 件:けん,Condition | Conditions | Terms | Requirements,condition | conditions | terms | requirements,noun,,,5
499,全国,ぜんこく,全:ぜん | 国:こく,Nationwide | National | Countrywide,nationwide | national | countrywide,noun | の adjective,1000.0,3.0,3
503,足,あし,足:あし,Foot | Leg,foot | leg,noun,1000.0,,1
505,施設,しせつ,,Institution | Facilities | Facility | Establishment,institution | facilities | facility | establishment,noun | verbal noun,,,9
506,来る,くる,来:く | る,To Come,come,intransitive verb,1000.0,,2
508,知識,ちしき,知:ち | 識:しき,Knowledge | Information,knowledge | information,noun,1000.0,9.0,5
509,携帯,けいたい,,Portable | Cell Phone | Mobile Phone,portable | cell Phone | mobile Phone,noun | verbal noun | の adjective,,,9
511,友人,ゆうじん,友:ゆう | 人:じん,Friend,friend,noun,1000.0,2.0,2
512,早く,はやく,早:はや | く,Early | Soon | Quickly | Fast,early | soon | quickly | fast,adverb,,,1
513,海外,かいがい,海:かい | 外:がい,Overseas | Foreign | Abroad,overseas | foreign | abroad,noun | の adjective,1000.0,2.0,2
514,原因,げんいん,原:げん | 因:いん,Cause | Origin | Source,cause | origin | source,noun | verbal noun,1000.0,9.0,5
516,昨年,さくねん,昨:さく | 年:ねん,Last Year,last Year,noun,1000.0,9.0,4
517,病院,びょういん,病:びょう | 院:いん,Hospital | Doctor's Office | Clinic,hospital | doctor's Office | clinic,noun | の adjective,1000.0,3.0,3
520,夏,なつ,夏:なつ,Summer,summer,noun,1000.0,,2
521,段階,だんかい,段:だん | 階:かい,Stage | Phase,stage | phase,noun,1000.0,9.0,6
523,反対,はんたい,反:はん | 対:たい,Opposite | Opposition,opposite | opposition,noun | な adjective | の adjective | verbal noun,1000.0,3.0,3
524,期間,きかん,期:き | 間:かん,Period | Term | Interval,period | term | interval,noun,,,3
525,区,く,区:く,District | Ward,district | ward,noun,1000.0,,3
527,午後,ごご,午:ご | 後:ご,PM | Afternoon | P.M.,pM | afternoon | p.M.,noun,1000.0,2.0,2
530,変更,へんこう,,Alteration | Change,alteration | change,noun | verbal noun,,,9
532,番組,ばんぐみ,番:ばん | 組:ぐみ,Program | Programme,program | programme,noun,1000.0,2.0,2
533,今度,こんど,今:こん | 度:ど,This Time | Next Time,this Time | next Time,noun,1000.0,3.0,3
536,準備,じゅんび,準:じゅん | 備:び,Preparation,preparation,noun | verbal noun,,,5
538,処理,しょり,処:しょ | 理:り,Deal With | Handling | Processing,deal With | handling | processing,noun | verbal noun,1000.0,9.0,6
539,口,くち,口:くち,Mouth,mouth,noun,1000.0,,1
540,式,しき,式:しき,Ceremony | Ritual | Equation | Style,ceremony | ritual | equation | style,noun | suffix,1000.0,,3
541,動き,うごき,動:うご | き,Movement | Activity | Trend | Development | Change,movement | activity | trend | development | change,noun,3000.0,,3
542,絶対,ぜったい,絶:ぜっ | 対:たい,Absolutely | Without Fail | Unconditionally,absolutely | without Fail | unconditionally,adverb,1000.0,9.0,5
544,結婚,けっこん,,Marriage,marriage,noun | verbal noun | の adjective,,,9
545,社長,しゃちょう,社:しゃ | 長:ちょう,Company President | President Of A Company,company President | president Of A Company,noun | suffix,1000.0,2.0,2
546,体験,たいけん,体:たい | 験:けん,Experience,experience,noun | verbal noun,1000.0,9.0,4
548,基準,きじゅん,基:き | 準:じゅん,Standard | A Standard,standard | a Standard,noun | の adjective,,,5
550,都市,とし,都:と | 市:し,City | Municipality,city | municipality,noun | の adjective,1000.0,3.0,3
551,親,おや,親:おや,Parent,parent,noun,1000.0,,2
552,機会,きかい,機:き | 会:かい,Opportunity | Chance,opportunity | chance,noun,,,4
553,展開,てんかい,展:てん | 開:かい,Unfolding | Development,unfolding | development,noun | verbal noun,1000.0,9.0,6
554,授業,じゅぎょう,授:じゅ | 業:ぎょう,Lesson | Class | Teaching,lesson | class | teaching,noun | verbal noun,1000.0,9.0,5
555,火,ひ,火:ひ,Fire,fire,noun,1000.0,,1
557,興味,きょうみ,興:きょう | 味:み,Interest,interest,noun,1000.0,9.0,5
558,掲載,けいさい,,Publication | Print | Post,publication | print | post,noun | verbal noun,,,9
559,編集,へんしゅう,編:へん | 集:しゅう,Edit,edit,noun | verbal noun | の adjective,1000.0,9.0,5
560,選択,せんたく,,Selection | Choice,selection | choice,noun | verbal noun,,,9
564,負担,ふたん,負:ふ | 担:たん,Burden | Responsibility,burden | responsibility,noun | verbal noun,1000.0,9.0,6
565,文字,もじ,文:も | 字:じ,Letter (Of The Alphabet) | Character | Letter | Text,letter (Of The Alphabet) | character | letter | text,noun,1000.0,1.0,1
567,無料,むりょう,無:む | 料:りょう,Free | Without Charge,free | without Charge,noun | の adjective,,,4
568,相談,そうだん,相:そう | 談:だん,Consultation | Discussion | Advice,consultation | discussion | advice,noun | verbal noun,1000.0,3.0,3
569,注意,ちゅうい,注:ちゅう | 意:い,Caution | Attention | Warning,caution | attention | warning,noun | verbal noun,1000.0,3.0,3
571,株,かぶ,株:かぶ,Stock | Share,stock | share,counter | noun,,,6
572,全部,ぜんぶ,全:ぜん | 部:ぶ,All | Entire | Whole,all | entire | whole,adverb | noun,1000.0,3.0,3
573,開始,かいし,開:かい | 始:し,Start | Beginning | Opening,start | beginning | opening,noun | verbal noun,1000.0,3.0,3
574,身,み,身:み,Body | Oneself | Animal Flesh,body | oneself | animal Flesh,noun,1000.0,,3
575,面白い,おもしろい,面:おも | 白:しろ | い,Interesting | Amusing | Funny,interesting | amusing | funny,い adjective,1000.0,3.0,3
576,分析,ぶんせき,,Analysis | Analyzing,analysis | analyzing,noun | verbal noun,1000.0,9.0,9
577,入る,はいる,入:はい | る,To Enter | To Go In,enter | go In,intransitive verb | godan verb,1000.0,,1
579,詳細,しょうさい,,Details,details,noun | な adjective,1000.0,9.0,9
583,将来,しょうらい,将:しょう | 来:らい,Future,future,noun,1000.0,9.0,6
585,愛,あい,愛:あい,Love,love,noun | suffix,,,4
586,目標,もくひょう,目:もく | 標:ひょう,Goal | Target | Objective,goal | target | objective,noun,,,4
589,長い,ながい,長:なが | い,Long,long,い adjective,1000.0,,2
591,花,はな,花:はな,Flower,flower,noun,1000.0,,1
594,作る,つくる,作:つく | る,To Make | To Build | To Create,make | build | create,transitive verb | godan verb,1000.0,,2
595,土,つち,土:つち,Dirt | Soil | Earth,dirt | soil | earth,noun,1000.0,,1
597,逆,ぎゃく,逆:ぎゃく,Reverse | Opposite,reverse | opposite,noun | な adjective,,,5
598,発見,はっけん,発:はっ | 見:けん,Discovery,discovery,noun | verbal noun,1000.0,3.0,3
599,最高,さいこう,最:さい | 高:こう,The Best | Best | Supreme,the Best | best | supreme,noun | な adjective | の adjective,,,4
602,利益,りえき,利:り | 益:えき,Profit | Benefit,profit | benefit,noun | verbal noun,,,5
604,銀行,ぎんこう,銀:ぎん | 行:こう,Bank,bank,noun | の adjective,1000.0,3.0,3
605,終了,しゅうりょう,,End | Finish | Close,end | finish | close,noun | verbal noun,,,9
607,出版,しゅっぱん,出:しゅっ | 版:ぱん,Publishing,publishing,noun | verbal noun,1000.0,9.0,5
609,大会,たいかい,大:たい | 会:かい,Convention | Tournament | Event,convention | tournament | event,noun | の adjective,1000.0,2.0,2
610,練習,れんしゅう,練:れん | 習:しゅう,Practice | Training | Drill,practice | training | drill,noun | verbal noun,1000.0,3.0,3
611,様々,さまざま,,Various,various,noun | な adjective,3000.0,,3
612,娘,むすめ,,Daughter | Young Woman,daughter | young Woman,noun,,,9
613,州,しゅう,州:しゅう,State | Province | County,state | province | county,noun,3000.0,,3
614,少ない,すくない,少:すく | ない,Few | Scarce | Not Much | Not Many,few | scarce | not Much | not Many,い adjective,1000.0,,2
617,大阪,おおさか,大:おお | 阪:さか,Osaka | Oosaka,osaka | oosaka,proper noun,,,4
621,被害,ひがい,,Damage | Harm | Injury,damage | harm | injury,noun,,,9
622,住宅,じゅうたく,住:じゅう | 宅:たく,Dwelling | Residence | Housing,dwelling | residence | housing,noun,3000.0,9.0,6
623,選挙,せんきょ,選:せん | 挙:きょ,Election,election,noun | verbal noun | の adjective,,,4
624,新た,あらた,新:あら | た,New | Fresh | Novel | Newly | Freshly,new | fresh | novel | newly | freshly,adverb | な adjective,3000.0,,2
626,大事,だいじ,大:だい | 事:じ,Important | Valuable,important | valuable,noun | な adjective,,,3
627,山,やま,山:やま,Mountain,mountain,noun,3000.0,,1
628,批判,ひはん,批:ひ | 判:はん,Criticism,criticism,noun | verbal noun,,,6
629,報道,ほうどう,報:ほう | 道:どう,News Report,news Report,noun | verbal noun,3000.0,9.0,5
630,心配,しんぱい,心:しん | 配:ぱい,A Worry | Concern,a Worry | concern,noun | な adjective | verbal noun,3000.0,3.0,3
632,残念,ざんねん,残:ざん | 念:ねん,Unfortunate | Too Bad | Regrettable | Disappointing,unfortunate | too Bad | regrettable | disappointing,noun | な adjective,,,4
633,見える,みえる,見:み | える,To Be Visible | To Be In Sight | Can See | To Seem,be Visible | be In Sight | can See | seem,intransitive verb | ichidan verb,1000.0,,1
636,議員,ぎいん,議:ぎ | 員:いん,Member Of The Diet | Diet Member | Legislator | Assembly Member,member Of The Diet | diet Member | legislator | assembly Member,noun,3000.0,9.0,4
639,攻撃,こうげき,,Attack | Attacking,attack | attacking,noun | verbal noun,,,9
640,近い,ちかい,近:ちか | い,Close | Nearby | Near,close | nearby | near,い adjective,1000.0,,2
641,世紀,せいき,世:せい | 紀:き,Century,century,noun,,,5
642,演奏,えんそう,演:えん | 奏:そう,Musical Performance | Performance,musical Performance | performance,noun | verbal noun,,,6
643,家庭,かてい,家:か | 庭:てい,Family | Household | Home,family | household | home,noun | の adjective,,,3
644,直接,ちょくせつ,直:ちょく | 接:せつ,Direct,direct,の adjective | adverb | noun,3000.0,9.0,5
645,構成,こうせい,構:こう | 成:せい,Composition | Structure,composition | structure,noun | の adjective | verbal noun,,,5
646,文章,ぶんしょう,文:ぶん | 章:しょう,Writing | Sentence | Composition,writing | sentence | composition,noun,3000.0,3.0,3
649,希望,きぼう,希:き | 望:ぼう,Hope | Wish | Aspiration,hope | wish | aspiration,noun | verbal noun,,,4
651,記憶,きおく,,Memory | Recollection,memory | recollection,noun | verbal noun,3000.0,9.0,9
658,感じる,かんじる,感:かん | じる,To Feel,feel,transitive verb | ichidan verb,1000.0,,3
662,資金,しきん,資:し | 金:きん,Funds,funds,noun,3000.0,9.0,5
663,友達,ともだち,友:とも | 達:だち,Friend | Companion,friend | companion,noun,,,4
664,危険,きけん,危:き | 険:けん,Risky | Unsafe | Dangerous | Danger | Peril | Hazard,risky | unsafe | dangerous | danger | peril | hazard,noun | な adjective,,,6
667,予想,よそう,予:よ | 想:そう,Expectation | Prediction,expectation | prediction,noun | verbal noun | の adjective,3000.0,3.0,3
668,必ず,かならず,必:かなら | ず,Surely | Certainly | Without Exception | Always | Definitely,surely | certainly | without Exception | always | definitely,adverb,,,4
669,発売,はつばい,発:はつ | 売:ばい,Sale | Selling,sale | selling,noun | verbal noun,3000.0,3.0,3
670,得る,える,得:え | る,To Acquire | To Gain | To Obtain,acquire | gain | obtain,transitive verb | ichidan verb,,,5
671,話題,わだい,話:わ | 題:だい,Topic | Subject,topic | subject,noun | の adjective,3000.0,3.0,3
672,建築,けんちく,建:けん | 築:ちく,Architecture | Construction,architecture | construction,noun | verbal noun,,,5
674,出す,だす,出:だ | す,To Take Out | To Hand Out | To Remove | To Turn In | To Put Out,take Out | hand Out | remove | turn In | put Out,transitive verb | godan verb,1000.0,,1
676,事故,じこ,事:じ | 故:こ,Accident | Mishap,accident | mishap,noun,,,5
677,大きい,おおきい,大:おお | きい,Big | Large,big | large,い adjective,1000.0,,1
678,額,がく,額:がく,Framed Picture | Picture | Frame,framed Picture | picture | frame,noun | suffix,,,5
679,聞く,きく,聞:き | く,To Hear | To Ask | To Listen,hear | ask | listen,transitive verb | godan verb,1000.0,,2
680,母,はは,母:はは,Mother | My Mother,mother | my Mother,noun,3000.0,,2
683,靴,くつ,,Shoes,shoes,noun,,,9
685,権利,けんり,権:けん | 利:り,A Right | Right,a Right | right,noun,,,6
687,記録,きろく,記:き | 録:ろく,Record | Document,record | document,noun | verbal noun,3000.0,9.0,4
688,光,ひかり,光:ひかり,Light | Flash,light | flash,noun,3000.0,,2
690,計算,けいさん,計:けい | 算:さん,Calculation,calculation,noun | verbal noun,3000.0,2.0,2
691,雨,あめ,雨:あめ,Rain,rain,noun,3000.0,,1
692,種類,しゅるい,種:しゅ | 類:るい,Kind | Type | Sort,kind | type | sort,noun,,,4
695,現場,げんば,現:げん | 場:ば,On-Site Location | Scene | Workplace,on-Site Location | scene | workplace,noun | の adjective,,,5
696,途中,とちゅう,,On The Way | En Route | In The Middle Of | Half Done,on The Way | en Route | in The Middle Of | half Done,noun,3000.0,9.0,9
697,気分,きぶん,気:き | 分:ぶん,Feeling | Mood,feeling | mood,noun,3000.0,2.0,2
698,昭和,しょうわ,昭:しょう | 和:わ,Showa Era | Shouwa Era | Showa | Shouwa | Showa Emperor | Shouwa Emperor,showa Era | shouwa Era | showa | shouwa | showa Emperor | shouwa Emperor,noun,3000.0,3.0,3
699,地球,ちきゅう,地:ち | 球:きゅう,The Earth | The Globe | Earth,the Earth | the Globe | earth,noun | の adjective,3000.0,3.0,3
700,移動,いどう,移:い | 動:どう,Movement | Transfer | Removal | Migration,movement | transfer | removal | migration,noun | verbal noun,,,5
701,絵,え,絵:え,Picture | Painting | Drawing | Illustration,picture | painting | drawing | illustration,noun,3000.0,,2
705,企画,きかく,,Plan | Planning | Project,plan | planning | project,noun | verbal noun,,,9
706,宗教,しゅうきょう,宗:しゅう | 教:きょう,Religion,religion,noun,3000.0,9.0,6
707,改正,かいせい,改:かい | 正:せい,Revision | Amendment | Alteration,revision | amendment | alteration,noun | verbal noun | の adjective,,,4
708,間違い,まちがい,,A Mistake | Mistake,a Mistake | mistake,noun,3000.0,9.0,9
709,数字,すうじ,数:すう | 字:じ,Numeral | Digit | Number,numeral | digit | number,noun,3000.0,2.0,2
710,若い,わかい,若:わか | い,Young | Youthful,young | youthful,い adjective,,,6
714,線,せん,線:せん,Line,line,noun | suffix,3000.0,,2
715,不安,ふあん,不:ふ | 安:あん,Uneasiness | Anxiety | Unease,uneasiness | anxiety | unease,noun | な adjective,3000.0,9.0,4
716,自ら,みずから,自:みずか | ら,Oneself | On One's Own Initiative | Personally,oneself | on One's Own Initiative | personally,noun | adverb,3000.0,,2
718,広告,こうこく,広:こう | 告:こく,Advertisement | Ad | Advert,advertisement | ad | advert,noun | verbal noun | の adjective,3000.0,9.0,5
719,土地,とち,土:と | 地:ち,Land,land,noun,3000.0,2.0,2
720,有名,ゆうめい,有:ゆう | 名:めい,Famous,famous,な adjective,3000.0,3.0,3
721,言語,げんご,言:げん | 語:ご,Language | A Language,language | a Language,noun,3000.0,2.0,2
722,共同,きょうどう,共:きょう | 同:どう,Joint | Collaborative | Shared,joint | collaborative | shared,の adjective | noun | verbal noun,,,4
724,要求,ようきゅう,要:よう | 求:きゅう,Demand | Requirement,demand | requirement,noun | verbal noun,,,4
726,教授,きょうじゅ,教:きょう | 授:じゅ,Professor | Teaching,professor | teaching,noun | verbal noun | の adjective,,,5
729,営業,えいぎょう,営:えい | 業:ぎょう,Business | Sales,business | sales,noun | verbal noun,,,5
731,無理,むり,無:む | 理:り,Impossible | Unreasonable | Overdoing,impossible | unreasonable | overdoing,noun | verbal noun | な adjective,,,4
732,役割,やくわり,役:やく | 割:わり,Role,role,noun,3000.0,9.0,6
733,改善,かいぜん,改:かい | 善:ぜん,Improvement | Betterment,improvement | betterment,noun | verbal noun | の adjective,,,6
736,撮影,さつえい,,Photography | Filming,photography | filming,noun | verbal noun,,,9
738,楽しい,たのしい,楽:たの | しい,Fun,fun,い adjective,1000.0,,2
739,拡大,かくだい,拡:かく | 大:だい,Zoom | Magnification | Enlargement | Expansion,zoom | magnification | enlargement | expansion,noun | verbal noun,,,6
740,色々,いろいろ,,Various,various,adverb | noun | な adjective | の adjective,3000.0,,2
742,終わり,おわり,終:お | わり,The End | End | The Finish | Finish,the End | end | the Finish | finish,noun,,,3
743,道路,どうろ,道:どう | 路:ろ,Paved Road | Road | Sealed Road,paved Road | road | sealed Road,noun,3000.0,3.0,3
744,種,たね,種:たね,Seed | Source,seed | source,noun,,,4
745,憲法,けんぽう,憲:けん | 法:ぽう,Constitution,constitution,noun | の adjective,,,6
747,感謝,かんしゃ,感:かん | 謝:しゃ,Thanks | Gratitude,thanks | gratitude,noun | verbal noun | な adjective,3000.0,9.0,5
748,感覚,かんかく,感:かん | 覚:かく,Sense | The Senses | Sensation,sense | the Senses | sensation,noun | verbal noun,,,4
749,旅,たび,旅:たび,Trip | Travel,trip | travel,noun | verbal noun,3000.0,,3
750,紙,かみ,紙:かみ,Paper,paper,noun,3000.0,,2
751,高校,こうこう,高:こう | 校:こう,High School | Senior High School,high School | senior High School,noun,3000.0,2.0,2
753,仕方,しかた,仕:し | 方:かた,Method | Way | Way Of Doing,method | way | way Of Doing,noun,3000.0,3.0,3
758,既に,すでに,,Already,already,adverb,,,9
760,建設,けんせつ,建:けん | 設:せつ,Construction | Constructing | Establishment,construction | constructing | establishment,noun | verbal noun,,,5
761,味,あじ,味:あじ,Taste | Flavor,taste | flavor,noun,3000.0,,3
762,先日,せんじつ,先:せん | 日:じつ,The Other Day | A Few Days Ago | Other Day,the Other Day | a Few Days Ago | other Day,noun,3000.0,1.0,1
764,中央,ちゅうおう,中:ちゅう | 央:おう,Center | Central | Centre,center | central | centre,noun | の adjective,3000.0,3.0,3
765,幸せ,しあわせ,幸:しあわ | せ,Happiness,happiness,noun | な adjective,3000.0,,3
766,犬,いぬ,犬:いぬ,Dog,dog,noun,3000.0,,1
767,平均,へいきん,平:へい | 均:きん,Average | Mean,average | mean,noun | verbal noun,3000.0,9.0,5
768,物語,ものがたり,物:もの | 語:がたり,Tale | Story | Legend,tale | story | legend,noun | verbal noun | の adjective,3000.0,3.0,3
771,末,すえ,末:すえ,The End | End,the End | end,noun,,,4
774,不思議,ふしぎ,不:ふ | 思:し | 議:ぎ,Wonder | Mystery | Marvelous,wonder | mystery | marvelous,noun | な adjective,3000.0,9.0,4
775,警察,けいさつ,警:けい | 察:さつ,Police,police,noun | の adjective,,,6
777,雑誌,ざっし,雑:ざっ | 誌:し,Magazine,magazine,noun,,,6
778,提案,ていあん,提:てい | 案:あん,Proposition | Proposal | Suggestion,proposition | proposal | suggestion,noun | verbal noun,,,5
781,大人,おとな,,Adult | Mature,adult | mature,noun | な adjective | の adjective,,,1
783,様子,ようす,様:よう | 子:す,State Of Things | Situation | Condition,state Of Things | situation | condition,noun,,,3
784,生徒,せいと,生:せい | 徒:と,Student | Pupil,student | pupil,noun | の adjective,,,4
785,戻る,もどる,,To Return | To Be Returned,return | be Returned,intransitive verb | godan verb,,,9
786,総合,そうごう,総:そう | 合:ごう,Overall | Comprehensive | Synthesis,overall | comprehensive | synthesis,noun | verbal noun | の adjective,3000.0,9.0,5
787,値,あたい,値:あたい,Value | Price,value | price,noun | の adjective,,,6
788,活用,かつよう,活:かつ | 用:よう,Utilizing | Conjugation | Practical Use,utilizing | conjugation | practical Use,noun | verbal noun,3000.0,2.0,2
791,身体,しんたい,身:しん | 体:たい,The Body | Health | Body,the Body | health | body,noun | の adjective,3000.0,3.0,3
796,左,ひだり,左:ひだり,Left Direction | Left,left Direction | left,noun | の adjective,3000.0,,1
797,満足,まんぞく,満:まん | 足:ぞく,Satisfied | Totally Satisfied | Satisfaction,satisfied | totally Satisfied | satisfaction,noun | な adjective | verbal noun,3000.0,9.0,4
798,規模,きぼ,規:き | 模:ぼ,Scale | Scope | Size,scale | scope | size,noun,,,6
800,本当,ほんとう,本:ほん | 当:とう,Reality | Truth | Real | True,reality | truth | real | true,noun | な adjective,,,2
801,以降,いこう,,Hereafter | After | Since,hereafter | after | since,noun,,,9
802,比較,ひかく,,Comparison,comparison,noun | verbal noun | の adjective,,,9
804,犯罪,はんざい,犯:はん | 罪:ざい,Crime,crime,noun | の adjective,,,5
805,午前,ごぜん,午:ご | 前:ぜん,AM | Morning | A.M.,aM | morning | a.M.,noun,3000.0,2.0,2
807,平和,へいわ,平:へい | 和:わ,Peace | Harmony,peace | harmony,noun | な adjective,3000.0,3.0,3
808,基礎,きそ,,Foundation | Fundamentals,foundation | fundamentals,noun | の adjective,,,9
810,画像,がぞう,画:が | 像:ぞう,Image | Picture,image | picture,noun,3000.0,9.0,5
811,村,むら,村:むら,Village | Rural Town,village | rural Town,noun,3000.0,,1
812,少年,しょうねん,少:しょう | 年:ねん,Boy | Young Boy | Youth,boy | young Boy | youth,noun,3000.0,2.0,2
